COUNTRY,AGE,POR,HDI,GDPCAP,ARRVL,DPRT,TD,TC,POP,MR,SPI,HDS,WLHS,ARI,DPI,TRI
Gambia,21,48.6,0.466,787.01,0,0,342,10045,2416.668,3.404678945,4.156549431,Underdeveloped,Extreme Low,67.16277367,68.48091912,67.8218464
Georgia,38.1,19.5,0.786,4697.983652,5393000,3400000,12879,898079,3989.167,1.434060923,225.1294569,Developing,Low,1351.911314,852.3082639,1102.109789
Germany,47.1,14.8,0.939,46794.89929,35555000,90966000,107675,6656161,83783.942,1.617674212,79.44435224,Developed,Extreme High,424.3653277,1085.721176,755.0432516
Ghana,21.1,23.4,0.596,2210.355923,0,0,1253,131840,31072.94,0.950394417,4.242920046,Developing,Low,461.8031789,376.6641062,419.2336425
Gibraltar,34.7,0.1,0.961,92843,0,0,100,7629,33.691,1.310787783,226.4402956,Developed,Extreme High,5138.982974,1438.963748,3288.973361
Greece,44.5,17.9,0.872,19150.7862,28071000,7235000,19553,1017445,10423.054,1.921774641,97.61486413,Developed,Moderate,2693.164595,694.1343679,1693.649481
Grenada,31.5,32,0.779,10815.91136,474000,0,200,5915,112.523,3.38123415,52.56703074,Developing,Moderate,4212.472117,578.4580615,2395.465089
Guadeloupe,43.7,34.5,0.853,24668,0,0,748,55284,400.124,1.35301353,138.1671682,Developed,Moderate High,10430.24086,935.7345437,5682.987701
Guatemala,22.1,59.3,0.651,4638.634943,1906000,1195000,16057,622866,17915.568,2.577922057,34.76674588,Developing,Low,106.3879192,66.70176463,86.54484189
Guinea,18.9,43.7,0.466,1058.143368,63000,0,388,30814,13132.795,1.259167911,2.346339831,Underdeveloped,Extreme Low,4.797150949,68.48091912,36.63903503
Guinea-Bissau,20.1,69.3,0.461,749.453747,45200.00076,0,149,6452,1968.001,2.309361438,3.278453619,Underdeveloped,Extreme Low,22.96746839,68.48091912,45.72419375
Guyana,26.2,36.1,0.67,6609.510431,235000,0,1025,38684,786.552,2.649674284,49.18174514,Developing,Moderate,298.7723634,578.4580615,438.6152125
Haiti,23,58.5,0.503,1272.490699,1153000,0,762,25865,11402.528,2.946066113,2.268356631,Developing,Extreme Low,101.1179275,68.48091912,84.79942332
Honduras,23,48.3,0.623,2574.356751,2228000,1121000,10424,378642,9904.607,2.752996234,38.22887672,Developing,Low,224.9458257,113.1796547,169.0627402
Hong Kong,44.4,21.4,0.939,46323.86,0,0,213,12497,7496.981,1.704409058,1.666937665,Developed,Extreme High,5138.982974,1438.963748,3288.973361
Hungary,42.3,12.3,0.845,16733.32217,52890000,18895000,37232,1208020,9660.351,3.082068178,125.0492865,Developed,Moderate,5474.956345,1955.933071,3715.444708
Iceland,36.5,8.8,0.938,68941.46223,1891000,536000,36,19861,341.243,0.181259755,58.20192649,Developed,Extreme High,5541.505613,1570.728191,3556.116902
India,28.1,21.9,0.647,2100.751461,14570000,21872000,476227,34718669,1380004.385,1.371674127,25.15837586,Developing,Low,10.55793747,15.849225,13.20358123
Indonesia,30.2,9.4,0.707,4135.201531,11519000,8340000,143969,4259644,273523.615,3.379836437,15.57322208,Developing,Low,42.1133656,30.49096876,36.30216718
Iran,30.3,55,0.797,2282.55,0,0,130883,6162954,83992.949,2.123705613,73.3746591,Developing,Low,461.8031789,376.6641062,419.2336425
Iraq,20,18.9,0.689,5658.492267,0,0,24017,2089259,40222.493,1.149546322,51.94255364,Developing,Low,461.8031789,376.6641062,419.2336425
Ireland,36.8,13.1,0.942,80886.61574,10100000,7646000,5835,636407,4937.786,0.916866094,128.8850914,Developed,Extreme High,2045.451139,1548.467269,1796.959204
Isle of Man,44.2,9.3,0.849,89112.67,0,0,67,12812,85.033,0.522947237,150.670916,Developed,Extreme High,5138.982974,1438.963748,3288.973361
Israel,29.9,16.9,0.906,43588.71315,3070000,6781000,8227,1352403,8655.535,0.60832459,156.2471875,Developed,Moderate High,354.6863365,783.4293316,569.0578341
Italy,45.5,20.1,0.883,33566.7873,84925000,57480000,135178,5282076,60461.826,2.55918317,87.36216468,Developed,Moderate High,1404.605279,950.6825017,1177.643891
Ivory Coast,20.9,39.5,0.516,2325.72,0,0,706,61943,26378.274,1.139757519,2.348258267,Developing,Low,461.8031789,376.6641062,419.2336425
Jamaica,26,19.9,0.726,5369.498371,3837000,0,2432,91868,2961.167,2.647276527,31.02425496,Developing,Low,1295.772917,376.6641062,836.2185114
Japan,47.3,15.7,0.915,40777.6087,24040000,17116000,18375,1729035,126476.461,1.062731524,13.67080472,Developed,Moderate High,190.0748946,135.3295298,162.7022122
Jordan,22.5,15.7,0.723,4405.487109,4236000,1511000,12078,1024032,10203.134,1.17945533,100.3644566,Developing,Low,415.1665557,148.091753,281.6291543
Kazakhstan,30.6,4.3,0.817,9812.595808,6509000,9756000,12887,980860,18776.707,1.313847032,52.23812674,Developed,Moderate,346.6529035,519.5799242,433.1164139
Kenya,19.7,36.1,0.579,1816.547124,1340000,0,5350,257614,53771.296,2.076750487,4.79092042,Developing,Extreme Low,24.920359,68.48091912,46.70063906
Kuwait,29.3,0.1,0.808,32373.25111,7055000,0,2466,413847,4270.571,0.595872388,96.90671341,Developed,Moderate High,1652.003912,935.7345437,1293.869228
Kyrgyzstan,26.5,20.1,0.674,1173.61,0,0,2775,184055,6524.195,1.507701502,28.21114329,Developing,Extreme Low,67.16277367,68.48091912,67.8218464
Laos,23,18.3,0.604,2630.2,0,0,256,93061,7275.56,0.275088383,12.79090544,Developing,Low,461.8031789,376.6641062,419.2336425
Latvia,43.6,22.9,0.854,17794.47862,6797000,1939000,4408,264031,1886.198,1.66950093,139.9805323,Developed,Moderate,3603.545333,1027.99388,2315.769606
Lebanon,30.5,27.4,0.73,7583.699146,1688000,0,8886,694256,6825.445,1.279931322,101.7158588,Developing,Moderate,247.3098824,578.4580615,412.8839719
Lesotho,24.2,49.7,0.518,1113.37214,1196000,0,665,23478,2142.249,2.832438879,10.95951031,Developing,Extreme Low,558.2917765,68.48091912,313.3863478
Liberia,17.8,50.9,0.465,621.8929536,0,0,287,5844,5057.681,4.911019849,1.155470264,Underdeveloped,Extreme Low,67.16277367,68.48091912,67.8218464
Libya,28.9,33.4,0.708,7685.948132,0,0,5576,379816,6871.292,1.46807928,55.27577638,Developing,Moderate,1843.111899,578.4580615,1210.78498
Liechtenstein,43.2,0.1,0.917,180366.72,69099.99847,0,68,5472,38.128,1.242690058,143.5165757,Developed,Extreme High,1812.316368,1438.963748,1625.640058
Lithuania,43.7,20.6,0.869,19555.21107,5322000,4143000,7039,495686,2722.289,1.42005221,182.0842681,Developed,Moderate,1954.972451,1521.881035,1738.426743
Luxembourg,39.3,17.5,0.909,114685.1684,1054000,1588000,896,95222,625.978,0.940959022,152.1171671,Developed,Extreme High,1683.765244,2536.830368,2110.297806
Madagascar,19.7,70.7,0.521,526.2245722,333000,0,980,45794,27691.018,2.140018343,1.653749241,Developing,Extreme Low,12.02556006,68.48091912,40.25323959
Malawi,16.5,51.5,0.485,583.1102036,849000,0,2310,62933,19129.952,3.670570289,3.289762567,Underdeveloped,Extreme Low,44.38066546,68.48091912,56.43079229
Malaysia,28.5,5.6,0.804,11414.20269,26757000,0,30989,2703140,32365.999,1.146407511,83.51789172,Developed,Moderate,826.7008845,578.4580615,702.579473
Maldives,28.2,8.2,0.719,10626.43335,1286000,0,259,93532,540.544,0.276910576,173.0330926,Developing,Moderate,2379.084774,578.4580615,1478.771418
Mali,15.8,42.1,0.427,879.1227752,173000,0,634,18855,20250.833,3.362503315,0.931072811,Underdeveloped,Extreme Low,8.542858459,68.48091912,38.51188879
Malta,41.8,17.1,0.885,30186.19596,2592000,550000,471,40892,441.543,1.151814536,92.61159162,Developed,Moderate High,5870.322936,1245.631796,3557.977366
Mauritania,20.5,31,0.527,1679.442605,0,0,852,39924,4649.658,2.134054704,8.58643797,Developing,Extreme Low,67.16277367,68.48091912,67.8218464
Mauritius,35.3,10.3,0.796,11097.58693,1307000,260000,680,22769,1271.768,2.986516755,17.90342264,Developing,Moderate,1027.703166,204.4398035,616.0714847
Mexico,28.3,41.9,0.767,9946.033829,94853000,97372000,297187,3924638,128932.753,7.572341704,30.43941829,Developing,Moderate,735.6780786,755.2153951,745.4467369
Moldova,36.7,7.3,0.711,4494.018403,121000,177000,9434,370951,4033.963,2.543193036,91.95696639,Developing,Low,29.99531726,43.87744756,36.93638241
Monaco,53.1,0.1,1.01,190512.7374,336000,0,36,4223,39.242,0.852474544,107.6142908,Developed,Extreme High,8562.254727,1438.963748,5000.609238
Mongolia,28.3,28.4,0.735,4339.844625,471000,0,2039,385973,3278.29,0.528275294,117.7360758,Developing,Low,143.6724634,376.6641062,260.1682848
Montenegro,40.7,24.5,0.816,8910.651554,1662000,0,2365,160270,628.066,1.475634866,255.1801881,Developed,Moderate,2646.218709,578.4580615,1612.338385
Morocco,29.3,4.8,0.676,3230.409722,10677000,1864000,14798,951984,36910.56,1.55443789,25.79164337,Developing,Low,289.2668114,50.50045299,169.8836322
Mozambique,17.2,46.1,0.446,503.5706566,1715000,0,1946,155495,31255.435,1.251487186,4.974974752,Underdeveloped,Extreme Low,54.87045693,68.48091912,61.67568802
Myanmar,28.2,24.8,0.584,1477.355368,2907000,0,19197,527503,54409.8,3.639221009,9.694999798,Developing,Extreme Low,53.42787513,68.48091912,60.95439712
Namibia,21.2,17.4,0.645,5037.342629,1551000,0,3578,133444,2540.905,2.681274542,52.51829565,Developing,Low,610.4124318,376.6641062,493.538269
Nepal,24.1,25.2,0.579,1194.956876,753000,0,11565,825016,29136.808,1.401790996,28.31524991,Developing,Extreme Low,25.84359961,68.48091912,47.16225937
Netherlands,42.6,13.6,0.933,52476.27325,15828000,18152000,20255,2920438,17134.872,0.69356035,170.4382735,Developed,Extreme High,923.7302736,1059.360117,991.5451951
New Caledonia,32,17,0.6,12579,625000,134000,280,12421,285.498,2.25424684,43.50643437,Developing,Moderate,2189.157192,469.355302,1329.256247
New Zealand,37.9,15,0.921,42755.21626,3494000,2611000,47,13143,4822.233,0.357604809,2.725500821,Developed,Moderate High,724.5605926,541.4504027,633.0054977
Nicaragua,25.7,24.9,0.651,1926.699694,1596000,981000,210,17391,6624.554,1.207521132,2.625233336,Developing,Extreme Low,240.9218794,148.0854409,194.5036602
Niger,15.4,40.8,0.377,553.8949553,152000,0,270,7176,24206.644,3.762541806,0.296447537,Underdeveloped,Extreme Low,6.279267791,68.48091912,37.38009345
Nigeria,18.4,40.1,0.534,2229.858652,5265000,0,2983,220020,206139.589,1.355785838,1.067335009,Developing,Low,25.54094546,376.6641062,201.1025258
North Macedonia,39.1,21.6,0.759,6022.24099,510000,0,7768,220169,2083.374,3.528198793,105.6790571,Developing,Moderate,244.7952216,578.4580615,411.6266415
Norway,39.2,12.7,0.954,75826.08188,5960000,8030000,1202,334488,5421.241,0.359355194,61.69952599,Developed,Extreme High,1099.379275,1481.210667,1290.294971
Oman,25.6,25,0.834,15343.0435,3207000,5902000,4113,304761,5106.626,1.349582132,59.67952225,Developed,Moderate,628.0076121,1155.753329,891.8804706
Pakistan,23.8,24.3,0.56,1284.702047,0,0,28843,1289913,220892.34,2.236042276,5.839555143,Developing,Extreme Low,67.16277367,68.48091912,67.8218464
Palestine,20.8,29.2,0.69,20.8,0,0,4589,435124,5101.414,1.054641895,85.29478298,Developing,Extreme Low,67.16277367,68.48091912,67.8218464
Panama,29.2,22.1,0.795,15727.97449,2379000,1051000,7391,481438,4314.767,1.535192486,111.579142,Developing,Moderate,551.3623331,243.5820984,397.4722158
Papua New Guinea,23.1,39.9,0.543,2829.167085,198000,0,587,35966,8947.024,1.63209698,4.019884154,Developing,Low,22.13026365,376.6641062,199.3971849
Paraguay,28.2,23.5,0.724,5380.963322,4318000,5866000,16517,464004,7132.538,3.559667589,65.054543,Developing,Low,605.3946015,822.4281455,713.9113735
Peru,28,20.2,0.759,7027.612207,4718000,2751000,201902,2256796,32971.854,8.946400118,68.44613591,Developing,Moderate,143.0917412,83.43479866,113.2632699
Philippines,23.5,16.7,0.712,3485.340844,5967000,5703000,50449,2836915,109581.078,1.778304955,25.88873053,Developing,Low,54.45283172,52.04365666,53.24824419
Poland,40.7,15.4,0.872,15694.84082,80476000,44500000,89714,3881349,37846.611,2.311412862,102.5547307,Developed,Moderate,2126.372689,1175.798805,1651.085747
Portugal,42.2,17.2,0.85,23284.52723,13359000,1941000,18698,1205993,10196.709,1.550423593,118.2727682,Developed,Moderate,1310.128591,190.3555353,750.2420634
