COUNTRY,AGE,POR,HDI,GDPCAP,ARRVL,DPRT,TD,TC,POP
Nicaragua,25.7,24.9,0.651,1926.699694,1596000,981000,210,17391,6624.554
Niger,15.4,40.8,0.377,553.8949553,152000,,270,7176,24206.644
Nigeria,18.4,40.1,0.534,2229.858652,5265000,,2983,220020,206139.589
North Macedonia,39.1,21.6,0.759,6022.24099,510000,,7768,220169,2083.374
Norway,39.2,12.7,0.954,75826.08188,5960000,8030000,1202,334488,5421.241
Oman,25.6,25,0.834,15343.0435,3207000,5902000,4113,304761,5106.626
Pakistan,23.8,24.3,0.56,1284.702047,,,28843,1289913,220892.34
Palestine,20.8,29.2,0.69,20.8,,,4589,435124,5101.414
Panama,29.2,22.1,0.795,15727.97449,2379000,1051000,7391,481438,4314.767
Papua New Guinea,23.1,39.9,0.543,2829.167085,198000,,587,35966,8947.024
Paraguay,28.2,23.5,0.724,5380.963322,4318000,5866000,16517,464004,7132.538
Peru,28,20.2,0.759,7027.612207,4718000,2751000,201902,2256796,32971.854
Philippines,23.5,16.7,0.712,3485.340844,5967000,5703000,50449,2836915,109581.078
Poland,40.7,15.4,0.872,15694.84082,80476000,44500000,89714,3881349,37846.611
Portugal,42.2,17.2,0.85,23284.52723,13359000,1941000,18698,1205993,10196.709
Qatar,33.2,0.1,0.848,62087.97413,2938000,,614,245855,2881.053
Romania,41.1,23.8,0.816,12889.80961,10223000,16128000,57935,1795418,19237.691
Russia,39.6,12.6,0.824,10126.72,,,292891,10103160,145934.462
Rwanda,19,38.2,0.536,820.1492886,1377000,,1344,100888,12952.218
South Korea,41.8,16.3,0.906,31489.12,,,4518,544117,51269.185
Saint Kitts and Nevis,35,21.8,0.777,17453,,,28,2797,53.199
San Marino,44.4,6.7,0.961,47731.20854,2000000,,94,6600,33.931
Sao Tome and Principe,18.4,66.7,0.609,1987.579702,28899.99962,,57,3733,219.159
Saudi Arabia,27.5,12.7,0.857,23139.79798,20887000,27618000,8857,550457,34813.871
Senegal,18.8,46.7,0.514,1430.148259,1219000,,1886,74105,16743.927
Serbia,42.6,23.2,0.799,7411.558649,1281000,,12275,1278120,8737.371
Seychelles,35.4,25.3,0.801,16198.51748,333000,68000,129,23806,98.347
Sierra Leone,19,56.8,0.438,527.5341745,60000,92000,121,6434,7976.983
Singapore,34.6,10,0.935,65640.70795,16403000,9474000,807,274617,5850.342
Slovakia,40.5,11.9,0.857,19156.89,,,15621,788772,5459.642
Slovenia,44.5,12,0.902,25942.95477,3397000,5408000,5444,443873,2078.938
Somalia,18.1,73,0.285,320.0381483,,,1333,23074,15893.222
South Africa,27.1,55.5,0.705,6001.401121,15121000,,90226,3231031,59308.69
South Sudan,17.3,76.4,0.413,1119.65,,,133,12969,11193.725
Spain,42.7,20.7,0.893,29555.3157,115561000,18277000,88619,5393268,46754.778
Sri Lanka,32.8,4.1,0.78,3851.56099,2168000,1448000,14677,576966,21413.249
Sudan,19.9,46.5,0.507,753.2821741,800000,,3252,45112,43849.26
Suriname,29.8,47,0.724,7261.16561,257000,,1179,51289,586.632
Sweden,41.2,17.1,0.937,51939.42974,6782000,,15185,1242733,10099.265
Switzerland,42.4,16,0.946,85334.51946,10402000,21536000,11905,1149097,8654.622
Syria,24.3,35.2,0.549,2032,,,2828,49493,17500.658
Taiwan,40.7,1.3,0.916,32787,,,849,16759,23816.775
Tajikistan,24.5,26.3,0.656,890.5444024,344000,22000,124,17095,9537.645
Tanzania,17.7,26.4,0.528,1085.884861,1284000,,734,26483,59734.218
Thailand,37.7,9.9,0.765,7817.011522,32530000,8204000,21284,2181960,69799.978
Togo,19.8,55.1,0.513,893.3524541,338000,191000,243,26442,8278.724
Trinidad and Tobago,36,3.7,0.799,16637.16294,492000,,2486,82563,1399.488
Tunisia,31.6,15.2,0.739,3351.573443,5724000,1830000,25445,720143,11818.619
Turkey,30.9,14.4,0.806,9126.594392,30907000,7892000,79696,9100324,84339.067
Turk and Caicos Islands,31,18,0.873,23879,,,25,3151,38718
United Arab Emirates,30.3,19.5,0.866,43103.33629,18967000,,2151,743152,9890.402
Uganda,15.8,21.4,0.528,794.4514454,1323000,568000,3269,128212,45741.007
United Kingdom,40.5,18.6,0.92,42354.41465,39129000,81757000,146791,11010286,67886.011
Ukraine,40.6,1.1,0.75,3662.563087,13734000,25226000,91958,3578557,43733.762
Uruguay,35,8.8,0.808,17688.01501,3632000,1715000,6147,403293,3473.73
United States,38.1,17.8,0.92,65279.52903,175261484.4,141526000,823390,51290979,331002.651
Uzbekistan,28.6,14.1,0.71,1719.05721,2027000,3848000,1445,196303,33469.203
Venezuela,28.3,33.1,0.726,16055,,,5250,439444,28435.94
Vietnam,30.5,6.7,0.693,2715.27598,10013000,,28616,1459175,97338.579
Yemen,19.5,48.6,0.463,824,,,1973,10081,29825.964
Zambia,16.8,54.4,0.591,1305.002214,956000,,3671,212278,18383.955
Zimbabwe,20,38.3,0.563,1156.154864,2168000,3192000,4745,177690,14862.924
